Text,Label,corrected_label,emotion
"Yeah, but your birth certificate--I mean, who carries around their birth certificate?  Nobody does that.",5,6,sadness
"No, but you come--you come to the D.M.V., it's something-- You should've- You should've figured--",6,4,fear
With your driver's license and your passport.  Just like everybody else.,6,6,sadness
"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?",5,6,sadness
"Who--you always use your driver's license.  I mean, you're not coming to the D.M.V. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway.",6,6,sadness
"All right.  Well, um, you know, I'd love to help you, but--nothing I can do.",2,0,surprise
"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",6,6,sadness
Do you have a supervisor?,5,6,sadness
I am the supervisor.  So--,6,6,sadness
"Well, thank you very much.  You've been very helpful.",6,1,joy
It's almost time for me to go.,6,6,sadness
I can't believe that--now--are you sure this is absolutely necessary?  Like--,5,5,neutral
"There's nothing I can do.  I mean, the government you know--",6,7,disgust
What--what're we gonna do here?  I can't--I can't do this by myself.  I--,5,4,fear
"You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can.",6,6,sadness
"But, I'm--I'm nothing--I'm nothing without you here.  Maybe we can--we can get out of this somehow.",6,6,sadness
I don't think so.,6,6,sadness
"Well, come on.  You've gotta think of something.  A year--a year away, it's gonna tear us apart.  I don't even--I don't even wanna think about it.  I mean, I don't even know if I'll be able to get in touch with you or--",6,4,fear
"Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile.",6,6,sadness
You could send me pictures.,6,6,sadness
It's not going to be the same.,6,6,sadness
"What if--maybe--what if, uh, we went somewhere over there?  I don't--I don't know--I--I need to figure something out for this because--",5,4,fear
"Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--",6,0,surprise
"and--I mean, my daughter--I don't want to put her in danger.  You know?  She has to stay.",5,4,fear
This is gonna be a--a crucial yet--she's--she's growing up.  She's gonna need you.,6,6,sadness
"I know, but, she needs to be safe more.  She needs to be around kids her age--own age.  She needs to be able to play on the streets and--",6,6,sadness
But she's--you're not gonna--you're not gonna be here for--for her first words.  For her first steps.  I mean--it's something that you're supposed to be here for that--,6,7,disgust
You can just remember it for me.,6,6,sadness
I don't know--I don't know--I don't know how--I don't know how this could even be possible for you--I--if I was--,6,5,neutral
"Well, I need--I need you to be able to do this for me 'cause I can't do anything about it.",6,6,sadness
"I mean, it's just as hard for me, but--I know that we can do it, you know",6,6,sadness
"I mean, you just get to--go off and do your thing.  I mean, yeah, we're both--I don't know--it's bad for both of us, but--",6,7,disgust
...it would be so much better if we can--if we could stay together somehow.  You know--we could--we could do this together.,6,6,sadness
I don't want you in danger.  And I don't want her in danger.,6,4,fear
I don't want you in danger.  Where are you going?  You're going over to war.,5,4,fear
I have no choice. There's nothing I can do.,6,0,surprise
"Oh my God.  Guess what, guess what, guess what, guess what, guess what, guess what?",5,5,neutral
"Well, guess.  Guess, guess, guess, guess.",6,6,sadness
"Um, you--",6,6,sadness
Don't look at my left hand.,6,4,fear
No.  Let me see.,6,6,sadness
"Oh, no way.",6,7,disgust
"He proposed.  He proposed.  Well, and I said yes, of course. [LAUGHTER]",6,6,sadness
That is great.  You look radiant.  I should've guess.,6,1,joy
I'm so excited.,1,1,joy
"Well, Tell me about him.  What happened.",6,5,neutral
"Remember how we had that date?  And I was like, oh yeah, this is a date, whatever.",5,6,sadness
"So after we sort of went out dinner and I was already like tired.  I wasn't all that excited and and so he's like let's go down to the beach and I was like no I don't want to the beach, like I'm tired. And he's like no, no we have to go.  And I was like okay, like that's a little weird.",1,7,disgust
"So, he--so we walked down to the pier and there's like these lights--like these little, like lights-- and we're like what's that? And he's like I don't know let's go find out.",5,6,sadness
So we walked down there and there's-[LAUGHTER]-And there's- this huge like ten foot heart in candles on the beach--,6,5,neutral
"like all they have And I was like, what's going on?  And he like takes my hand and pulls me into the middle and he's like--you know, get's on his knee and everything--And says will you marry me? And I flipped out.",5,5,neutral
That--that is the most romantic thing I have ever heard.,6,5,neutral
"I know.  I was like, how did he get--like he must have called someone or had them set--like, I have no idea.",6,5,neutral
"Wow.  Yeah, 'cause yeah I don't know I'm sure if he--oh yeah he definitely had--would have had to have someone else--",6,5,neutral
'Cause- 'Cause he was with me. You didn't do it did you?,5,3,anger
"Yeah.  I mean candles wouldn't stay--No, I didn't--I didn't know anything about it.",6,5,neutral
You didn't know anything?,5,5,neutral
No. I'm just as happy as you are.  This is--,1,1,joy
"I was just--it was so like I thought this might happen eventually, but like not yet, you know what I mean?  Like--",5,6,sadness
"So, I mean--it's good though.",6,1,joy
"It is good.  It's totally good.  I mean, it like oh, you know.",6,1,joy
"Yeah, I know.  Wow.  I'm shaking.  I can't even--",6,4,fear
I know. So we're gonna take it--Like we're not gonna get married right away--'Cause we want to like have plenty of time to plan everything out,6,6,sadness
"...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--",6,6,sadness
"Oh. Do they--do they know yet? Have you told them? Oh, that's--",5,5,neutral
"Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have.  Um--",2,1,joy
That's great.  Yeah.,6,1,joy
"So, yeah, I mean, it'll be good.  We wanna like, uh, I think we're gonna have it in spring time, like early Spring--So it's no too hot yet.  And um--",6,6,sadness
Okay. You know--you know where?  Or--,5,6,sadness
"I don't know.  I mean, I kinda like the idea of having something outside, but--Like--is a- Yeah,",6,6,sadness
"Uh, huh. I mean, you know, it's spring--It'll be--",6,6,sadness
"But It's sort of hard 'cause the weather is so unpredictable and then if it's like cold that day.  Or if it's too hot, you know, it's like--but um--",6,4,fear
Spring's nice though.,6,1,joy
"Yeah, I don't know-[LAUGHTER]-I mean--I can't even--the whole idea of like living--spending my whole life with somebody--that's crazy",6,7,disgust
"Yeah, that is--how long you guys been together now?",5,6,sadness
Two and a half years. [LAUGHTER],6,6,sadness
Okay.  All right.  So-[LAUGHTER]-quite a while.  I mean--That's-  That's good.  I'm so happy for you. [LAUGHTER],1,1,joy
Thank you. Thank you so much.,6,1,joy
"Yeah, I'd love to be in that same situation some day, but, wow- so-",2,5,neutral
"Oh, you will--You'll find just the right girl.  And she'll be perfect for you and everything will be great.",6,6,sadness
You guys are awesome together.  It's definitely a--definitely a good couple.  I can see it. I should've guessed--,6,1,joy
You approve?  You approve?,5,5,neutral
"Oh, I approve. I-[LAUGHTER]-I more than approve.",6,6,sadness
"I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--",6,5,neutral
"Yeah, it's pretty good.",6,1,joy
"Well--can--I mean, let me know--I want- I want invitations and--",6,6,sadness
"Of course, of course--you'll be able to be a part of it.  You can come help me pick my colors.",6,6,sadness
"Oh, yes.  This is the whole [GARBAGE]",6,6,sadness
"It's so girly.  I don't even know how to like--It's so weird, but it'll be fun.  My mom will love to be like--she'll get so into it, I'm sure.",2,1,joy
She'll be like--flowers and the--,6,6,sadness
"It'll be good.  Wow, that's great.",6,5,neutral
"Oh, thank you. [LAUGHTER]",6,6,sadness
"So, uh, so how's it been going?  I mean, you have any needs or anything?",5,6,sadness
I'm--every lead that I get ends up just being a dead end.  You know what I mean.  People are sick of me calling--,6,7,disgust
"No.  You can't think that way.  I mean it's good--it's good that you're--that you're calling, you know. you can't",6,6,sadness
"Yeah, but it--I mean it's the same response you get over and over again.  Like--",6,6,sadness
"Oh, we're not hiring at this time or thank you, we already have your information on file--We'll call you when we're ready.",6,6,sadness
"Yeah--I know what you mean.  I've gone through like similar stuff, but--",6,6,sadness
"But, it's been so long, like--I mine as well just take a job at McDonald's.  Like, I don't--",6,6,sadness
"No, come on.  Don't [GARBAGE]",6,4,fear
"I just--I can't do it anymore.  Like, it just takes it out of you--",6,3,anger
"I know.  I know. It's hard, but you just--you gotta keep going.  I mean, you've been going at it for so long, you know.  Something is definitely going to come up.  I-I know it will, because you're a good worker--",6,6,sadness
I just keep getting rejected.  I just keep getting rejected over and over and over again and it starts to make you feel like there must be something wrong with you that you can't get a job.,6,0,surprise
"No.  It's--I mean, it's competitive, you know.  That's-That's what it is.  that's what you gotta be is competitive.",6,6,sadness
"Yeah, but maybe--if just because it's competitive, like maybe I'm just not good enough.  Maybe the level is here and I'm here and there's just no way I'm ever gonna do that--",6,6,sadness
"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot...",6,6,sadness
...dumber than you.  I mean they're a lot worse off than you.  You are much better off than like a lot of those people in there. I know,6,7,disgust
"I didn't have like one of those starts, you know, like a family member who was already in the business or something you know that could like give me a helping hand.",6,6,sadness
"I know.  It makes it harder.  I mean it's definitely who you know in a lot of cases, but--",6,6,sadness
"It's just so frustrating.  Like, I just--I just don't wanna do it anymore.  You know?  I just don't wanna like hit the pavement every single day with my resumes and going out there all the time.  You know, it's just like--",5,0,surprise
"But you gotta.  Otherwise, what is--what's your other option?",5,6,sadness
I feel so worthless.,6,0,surprise
"It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off.  I know it.  I mean, I can--I've just--I've seen your work etiquette.  You know, you're a good worker and...",6,6,sadness
... and there's no reason that--that something won't come up like really soon.  All right?  So you just gotta--,5,6,sadness
And what would make you say that?  There doesn't seem to be any indicators that anything's going to get better.,5,6,sadness
"Because I know you.  You know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago.  You know? but  And- and they'll finally come around and believe me--it'll--you gotta-",5,6,sadness
"It's just really hard.  I feel like their starting to get like a personal prejudice against me.  You know what I mean?  Like it's like suddenly it starts to feel like it's just you that they say no to and it's not that they're not taking applications and it's not that they're not hiring people, it's just you particularly they have some particular reason for just hating you.  You know?",5,7,disgust
"Well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know",6,3,anger
Or they'll never talk to me again.,6,6,sadness
"Or, well, no.  Okay. you -[GARBAGE]",6,6,sadness
"I-I just I think maybe I should try something else.  I mean, I-I don't know.  All growing up this is the only thing that I ever wanted to do and yet I can't.  I'm not physically able apparently.  I mean--",6,4,fear
"That obviously that's not true though.  I mean, you've done this before.  You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--",6,6,sadness
"I guess the money shouldn't matter to me, but--Somehow it does.  You know? It's not like I do it for the money, but",5,6,sadness
"Well, you've gotta live.",6,6,sadness
"you have to--I mean, if you're hired by somebody, then you're not a professional, you're an amateur and that means that you're not good enough.",6,7,disgust
"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--",6,6,sadness
"I just wanna crawl in a hole, you know.  Like it just makes you not wanna even open your eyes in the morning.",6,7,disgust
"Well, come on, come on.  Thinking about it like this is definitely not gonna help either though.",6,7,disgust
I don't know how to get out of it.  I don't know how to dig myself out of it.  It's the same hole that I've been digging and digging and digging.  I can't--,6,4,fear
"Hi, um, excuse me, I believe that the airline lost my baggage.",6,0,surprise
"Um, okay, it didn't--didn't come out on the carrousel--",6,4,fear
"No, it didn't. um It didn't come out and I don't see it anywhere around here, so what can you do about that?",5,5,neutral
"Okay.  Um, well, unfortunately yeah there was a some- some problems with the--",6,4,fear
Some problems?  What is that supposed to mean?,5,5,neutral
"Uh, well some-some of the bags were--were lost on the way over here. uh-",6,0,surprise
How do you lose a suitcase?  A huge suitcase?,5,5,neutral
"You know, I mean, there's a lot of things that go on under the plane and sometimes, you know, that kind of things happen.",6,6,sadness
"Uh, But, we are willing to reimburse you for the bag and and for the contents--",6,6,sadness
How much?,5,5,neutral
"Um, we'd be willing to give you uh fifty dollars for--",6,6,sadness
"Fifty dollars?  For my suitcase?  I mean, the suitcase itself was like a hundred and fifty dollar just for the suitcase, but all the things inside, all my clothes, all my personal belongings, the sentimental value, not to mention, which is more-more than all of that together.",5,5,neutral
"Right.  Uh We realize, you know, that that it's a bad situation, but I'm sorry, there's nothing that we can really do.",6,0,surprise
"That's all, that's all, that's all you're going to do is just give me fifty dollars and say go have fun on your vacation without any of your stuff?",5,6,sadness
"I think, um, maybe you can file a claim if you want and turn it in to our main office--",6,6,sadness
"Yes, yes, I would like to file a claim, but what are you gonna--I mean, is it just gonna show up magically out of nowhere?",5,5,neutral
"Right.  No.  I mean they- they might--they might--if you-if you are argue the case more, maybe they'll reimburse you more, but, right now--",6,3,anger
"I need my stuff.  It's--I need my stuff.  I mean, uh...",6,6,sadness
Haven't you ever lost baggage?  I mean isn't there anything else you do?,5,5,neutral
"Yes, I know. I know-. It's It's frustrating.  Unfortunately though-- um",6,0,surprise
"Because you don't seem to care very much, you know.",6,7,disgust
"By checking your bags, you--you, you know- admit to the liability that's- that's at risk--",6,4,fear
I didn't sign anything.,6,3,anger
"Right, well, by checking in your bags, you agreed to, you know, at the will of the--",6,6,sadness
"I didn't agree.  [GARBAGE] I paid the airline to take care of things for me.  When you pay for something, there should be some sort of guarantee that it's gonna come through.",6,6,sadness
"You paid for the flight and then your bags were checked at--it's a service that the airline provides for us.  So so, really, it's really the risk was taken and, I'm sorry, but there's really nothing else we can do.  So do you want--do you want the reimbursement?",5,6,sadness
"[BREATHING] Well, sure, yeah, I guess I'll go buy dinner and then be--have nothing for the rest of my entire vacation.  I'm supposed to be here for three weeks.  What am I gonna do without anything for three weeks?",5,6,sadness
"Well, there are-there are some shops here in- in the airport--",6,6,sadness
But fifty dollars isn't going to get me anything.,6,6,sadness
"No, um, like I said you can file a claim and, uh, maybe get reimbursed for more-- you",6,6,sadness
Isn't there anything else you can do?,5,6,sadness
probably even talk to--,6,6,sadness
"I mean, is there somebody you can call?  Or the guy that put the stuff on the--on the plane.  I mean, are they--they must be really irresponsible to have just disappeared my baggage.  I mean, did it get stolen?",5,5,neutral
"Right, that--that gets taken care of-- That gets taken care of.  We get we do, you know, we investigate those and just make sure that um- they're not doing their own thing with them so--uh",6,6,sadness
"Yeah, I'm sure you -- You're like, hmm, do you take baggage?  No.  Oh, okay, thanks.  Great.  I mean how--",5,6,sadness
but Unfortunately sometimes is--,6,0,surprise
"Well, that's--that's what I'm saying--",6,6,sadness
There needs to be better security here.,6,6,sadness
"Okay.  Well that that could be something that you put on on the claim--on on the complaint form if you want.  And provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over.",6,6,sadness
It sounds like it's such a little like oh well no big deal whatever.  It's a big deal to me.,6,6,sadness
"All right, Miss, I-I know.  I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person.",6,6,sadness
"Well, can I at least have my fifty dollars, please?",5,6,sadness
"Yes, all right.  There you go, now you can file a claim over to the left--And they'll help you out.",6,6,sadness
"Hey, a what's up?",5,5,neutral
"Um, Johnny died yesterday.",6,0,surprise
"Wow, that's horrible.",6,7,disgust
I'm sorry to hear about that.,6,0,surprise
"We knew that it was coming, but--",6,4,fear
"It seemed like he had a little bit longer.  Like just last week, he was doing was so well.",6,6,sadness
"I mean, you know, at least he's not in anymore pain now, right?",5,6,sadness
"It's good, you know.  you know It hurts I know.  I know what it's like to lose someone like that.",6,0,surprise
I just don't want him to be gone.,6,3,anger
"'Cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on.",6,6,sadness
I mean--I don't know.,6,5,neutral
And his whole family was there.,6,6,sadness
"I mean, he was like really conscious right up until the end. you know",6,6,sadness
"Well, that's that's good, you know.  At least, I don't know.  I mean it's- it's better to go- to goout that way than...",6,1,joy
".than you know, in pain and like this gradual, this horrible process.  I mean--",6,4,fear
"He was so young, you know.  And all the stories he used to tell me about...",6,6,sadness
...the way he wanted to live and he was gonna go to Africa and he was gonna--,6,6,sadness
"But look at the--he--look at the life he did get to lead.  I mean, for his age, he'd done so much and--",6,7,disgust
Nobody's ever gonna forget him.,6,6,sadness
"Yeah, exactly.  He's made a big impact on a lot of people. and",3,6,sadness
"And you'll always have that and--you should feel, you know, happy for him that he got to do so much before--I mean, and even after he found out last year.  I mean--",1,1,joy
He did a lot.  But--,6,6,sadness
"I know.  It doesn't bring him back, but--",6,6,sadness
"But It's okay because now, you know, you'll just go on with your life and--",6,6,sadness
I'm gonna forget him.,6,0,surprise
"No, you'll never forget him.",6,6,sadness
I won't be able to hear his voice or his--,6,0,surprise
I know. but you're not  I mean you're not going to forget him.  The pain will go away eventually and--or it will subside--,6,6,sadness
You start to lose like that image after a while.,6,6,sadness
"That will be, It'll be--it'll be better that way. I mean Time will tell.  Time heals, you know, and it's good.  It's okay.  I mean, it wasn't anybody's fault or anything like that so .",6,6,sadness
"It's hard to lose someone that way, but he's he's better--he's better off now.",6,6,sadness
Thanks.,6,6,sadness
"So, how's it going?",5,6,sadness
"It's going really well.  Um, I received something in the mail today.",6,1,joy
"Oh, you got what?  Where?",5,5,neutral
I got into U.S.C.,6,6,sadness
"Yeah, I'm so excited.  So I'm gonna say--",1,1,joy
Are you gonna go? you gonna-,5,3,anger
"Yeah, I think, I mean because where else would I gonna go?  Like the other places that I applied to I really didn't like that much anyway.",5,6,sadness
So--,6,6,sadness
"Wow, that's...",6,5,neutral
"...that's first choice, huh? That's so awesome and now look you're gonna be--you're gonna be here. you know",5,1,joy
"Yeah, I know.",6,6,sadness
Absolutely. I'm so excited.,1,1,joy
"I know.  I know. And we'll all get to hang out.  And I'm--even though we'll be at like at different parts of the city, we can still, like...",6,6,sadness
"...hang out and, like, have our different lives--And meet each other's friends and stuff.  So, I'm just so glad 'cause they have such a good school",1,1,joy
"Yeah, no, definitely--It's gonna..",6,7,disgust
"and like-- The football team--And like all the-...you- what I mean, like...",6,6,sadness
Yeah,6,6,sadness
Fight on.,6,6,sadness
"You can walk somewhere and be anywhere in the country and be like, oh, yeah, I am at U.S.C.",6,6,sadness
"And you know what, you know what I mean, like it's recognizable rather than just being like I went some random school. It's like people really know what you...",6,6,sadness
Wow. That's cool.,6,5,neutral
"...like, they feel like--I feel like it's going to be so like accomplished.  Do you know what I mean?",5,1,joy
Like it has some prestige. so,6,6,sadness
Yeah. Hey. Prestigious school.,6,1,joy
"So, what, do you have to send in your deposit now?  Or what you-?",5,5,neutral
"Yeah, I mean there's all the money stuff and my mom's helping me with the financial aid and stuff.  But, it'll be fine--",6,6,sadness
"Like, now that I'm accepted, it's just, like, such a huge load off my mind.",6,6,sadness
That's great.,6,1,joy
I don't mind worrying about all the paperwork.  You know--,6,4,fear
So...,6,6,sadness
"Because, I don't have to like make that decision anymore.  I don't have to try and decide, like, what the bad school I'm going to go to is. you know",6,6,sadness
"Right.  Right.  Right. Oh, man, then you're going to have to do orientation, I guess.",6,6,sadness
"I know. I know.  I think you go and you like stay for a couple of days and you meet people and--And they'll give you like a tour--And show you everything.  Oh, man, I'm just so--I'm so excited.",1,1,joy
That'll be awesome.,6,1,joy
"I mean because you went to the campus before, right?",5,6,sadness
"Yeah, oh totally.  It's a beautiful campus.  It's gonna be really nice.  Um, and everyone is friendly and like there's ivy on all the walls.  Oh, it's just so--it's so like collegiate.",6,1,joy
"You know what I mean?  Like, it's like exactly what I want.",5,6,sadness
So what're you--what're you gonna do there?  Have you decided?  Thought about it?,5,5,neutral
"Well, you know, I've thought about it but they have so many things that I might--Like try some things out first...",6,6,sadness
"I know.  I mean, it's good all around.",6,1,joy
"...because also on the list of their, um, like G.E.'s or whatever, you have a lot of choices within every single one.  So you can, like, try things out and not just be like, oh, I have to take math, oh, I have to take this.  You know what I mean?",5,6,sadness
"So, um, so I don't know.",6,6,sadness
I mean I'm gonna take a bunch of stuff and see.,6,6,sadness
Oh man.,6,5,neutral
"I- They have like--they just have so many like prestigious like this school is top ten and like the departments within it, you know what I mean.",6,6,sadness
I always see people walking around with like U.S.C stuff on--,6,6,sadness
"I know, I get to be one of those now--I'll like walk around and be like a U.S.C..  You know what I mean.",6,6,sadness
You know is like.,6,6,sadness
Ahh. Yeah. [GARBAGE],6,6,sadness
"You'll be like are you a fan or a student you know? Student. [LAUGHTER] Oh man, that's awesome.",5,6,sadness
And you'll be like...,6,6,sadness
"Student. I'm a student. Yes I am, Thank you very much.",6,1,joy
A U.S.C. graduate now. You're set.,6,6,sadness
I know.  I'm excited.,1,1,joy
"Well, that'll take a while. [GARBAGE]",6,6,sadness
"I know, that's a ways down the road. That's cool.",6,1,joy
That's going to be a lot of work.,6,6,sadness
"But, it'll be fine, I mean.  I'm so excited. It's going to be so fun.",1,1,joy
In LA. Oh man.,6,5,neutral
"I know, and I mean the area's not great, but like the school makes up for it. It'll be fine. It'll be good.",6,6,sadness
So much.,6,6,sadness
"But it's LA, you know, everything.",6,6,sadness
You're getting close to the beach.  I mean geez.,6,5,neutral
I know. I know. So fun.  I can't wait.,6,1,joy
"Cool.  Well give me a call, you know when--You get in town. definitely Awesome.",6,1,joy
I will. I will. Thank you.,6,1,joy
"Hi, my name is Shiloh, welcome to--Airline Six.  Hi, how may I help you?",5,6,sadness
"Yeah, hello.",6,6,sadness
Ok.  I've- I've just been talking to this machine for the past half hour and I can't-can't get anything done.  I've been trying to book this vacation this entire time.,6,0,surprise
"All right, sir.",6,6,sadness
"I know, I'm sorry.  It's-It's just that it's been a little frustrating because--",6,0,surprise
I completely understand.  Automated systems are very difficult sometimes.,6,6,sadness
"Um, how may I help you.  You're trying to book a specific flight?",5,4,fear
"Well, yeah, I mean I heard there was like these package deals and that maybe I could get a like a hotel or something like that. and-",6,6,sadness
"Oh, yeah, absolutely.  You know, and especially because you've been waiting so long and I know that, um, you've been having a difficult time.",6,6,sadness
"I want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,",6,6,sadness
"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh,  Just to make sure that you're happy with your service here.",1,1,joy
You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.,5,6,sadness
Is that all right?,5,6,sadness
"I can do that right now for you. No, absolutely.  I can take care of you all the way through to the end.",6,6,sadness
All I'm going to need is your credit card number but just give me one moment. So-,6,6,sadness
[BREATHING] that's good.,6,1,joy
"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal.  You're taken care of by the time that you get there.",6,6,sadness
"All right.  I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",6,1,joy
Absolutely. we we,6,6,sadness
"Yes, I completely understand.  Actually, our-our airline only uses five star hotel and above.  Except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves.",6,6,sadness
"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",6,6,sadness
Okay. So--,6,6,sadness
"Well, you know, we wanted to--we wanted to go to Maui and--That was a",6,6,sadness
"--you know, the kids wanna go to the beach and stuff and so--um",6,1,joy
Great.  How many seats?,5,5,neutral
"Well, it's gonna be four of them.",6,6,sadness
Okay.  Great.  Four seats.  I'll book you for four seats.,6,1,joy
All right.  And can they like all get together?,5,6,sadness
"Oh, yeah, absolutely.  Um- Would you like window seats or aisles?",5,6,sadness
"Um- You know, window is nice. I guess",6,6,sadness
"Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?",5,6,sadness
"All right, Sure.  A yeah, that- that'd be good.",6,1,joy
Okay.  Great.  What time of the day would you like?,5,1,joy
"Uh, well, yeah, I think we were just--you know, whenever best available, I guess.  You know--",6,6,sadness
All right.  Great.  Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,6,6,sadness
"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning.  So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui.",6,6,sadness
"And, like, there's there's shuttles or something that I can get to the hotel.",6,6,sadness
Absolutely.  That actually goes in on the same package with our hotel.  You just give me your address.  We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,6,6,sadness
And a there will also be a shuttle waiting for you to take you to the appropriate hotel.,6,6,sadness
"Okay.  Wow.  Sounds good then, I guess.  Thank you very much. It's a lot better than talking to a machine.",6,1,joy
Yeah--I completely understand.  It's a difficult process sometimes and we want to make traveling as easy as possible.,6,6,sadness
All right.  So we're confirmed then or do you--All right.,6,6,sadness
Absolutely. Thank you so much for calling and we hope that you will come to us again.,6,1,joy
What's he gonna say?  Maybe we ought to tell him before he sees it.,5,6,sadness
"How could he see it?  I was the first one up, he was still in bed.",5,5,neutral
About four this morning.  I heard it cracking and I woke up and looked out. He was standing right here when it cracked.,6,5,neutral
What was he doing out here at four in the morning?,5,5,neutral
"I don't know.  When it cracked, he ran back in the house and cried in the kitchen.",6,5,neutral
No.  I thought it was best to leave him alone.,6,0,surprise
He cried hard?,5,5,neutral
I could hear him right through the floor of my room.,6,4,fear
What was he doing out here at that hour?,5,5,neutral
He's dreaming about him again.  He's walking around at night.,6,4,fear
He's getting just like after he died.  What is the meaning of that?,5,6,sadness
"I don't know the meaning of it.  But, I know one thing Mom, we made a terrible mistake with Dad.",3,4,fear
"Being dishonest with him.  I mean, that sort of thing always pays off and now it's paying off.",6,6,sadness
What you mean dishonest?,5,3,anger
You know that Larry's not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,5,5,neutral
What do you want to do argue with him?,5,3,anger
"No, I don't want to argue with him, but it's about time he realized that nobody believes Larry's alive anymore?",5,6,sadness
Why shouldn't he dream of him and walk the nights waiting for him?  Do we contradict him?  Do we say straight out that we don't have any hope anymore?  That we haven't had hope for years now?,5,4,fear
Can you prove it?  How can you prove it?,5,5,neutral
"For God sakes, it's been three years.  Nobody comes back after three years.  It's insane.",6,5,neutral
"To you it is and to me, but not to him.  I mean, you can talk yourself blue in the face, but he--there's no body and no grave so where are you?",5,6,sadness
"Trouble is the God damn newspapers.  Every month or so a boy turns up out of nowhere so, you know, the next one is gonna be Larry.",6,4,fear
All right.  All right.  Listen to me.  You know why I brought Annie here don't you?,5,6,sadness
"I've got an idea, but what's the story?",5,6,sadness
I'm gonna ask her to marry me.,6,1,joy
You know it's not only my business.,6,6,sadness
What do you want me to do?  You're old enough to know your own mind.,5,6,sadness
So it's all right then?,5,6,sadness
I'll go ahead with it?,5,6,sadness
"Well, you want to make sure that your father isn't going to--",6,6,sadness
"Well, then it isn't just my business--",6,6,sadness
I'm just saying that--,6,6,sadness
"Ah, sometimes you infuriate me.  You know that?  I mean, isn't it your business too if I tell Dad and flips--freaks out about it?  I mean, you have such a talent for ignoring things.",5,3,anger
I ignore what I gotta ignore.  The girl is Larry's girl.,6,6,sadness
"From your father's point of view, he isn't dead.  And you've no right to take his girl.",6,6,sadness
"And you can go on from there if you know where to go, but I don't know where to go.  See, I don't know.  Now what can I do for you?",5,6,sadness
"I don't know why, but, every time I reach out for something that I want, I have to pull back 'cause someone else will suffer.  My whole bloody life.  Time after time after time.",6,3,anger
You're a considerate fellow.  There's nothing wrong with that.,6,6,sadness
[BREATHING] Have you asked Annie yet?,5,5,neutral
"Well, how do you know she'll marry you?  Maybe she feels the same way your father does.",5,6,sadness
"Well, if she does, then that's the end of it.  But from her letters, I think she's forgotten him.  I'll find out.  And then we'll thrash it out with Dad, right?  Mom, don't avoid me.",5,6,sadness
"Trouble is, you don't see enough women.",6,7,disgust
You never did.,6,6,sadness
"So what, I'm not fast with women.",6,6,sadness
I just don't see why it has to be Annie.,6,5,neutral
"Well, that's a good answer, but it doesn't answer anything.  I mean, you've been away for--at war.  It's been five years.",6,6,sadness
"I can't help it.  I know her best.  I mean, I grew up next door to her.",6,0,surprise
"These years when I think of a wife, I think of Annie.  What do you want, a diagram?",5,6,sadness
"I don't want a diagram.  Umm-- He thinks he's coming back, Chris.  You marry that girl and you're pronouncing him dead.",6,7,disgust
"I mean, what's gonna happen to your father?  Do you know?  I don't.",5,4,fear
